Id,Título,Preço,Desconto,Preco_com_desconto,Condição,Nota,N_Avaliações,Marca,Material,Gênero,Temporada,Review1,Review2,Review3
600,Kit 3 Conjunto Feminino Top + Calcinha Ckyron Roupa Feminina,30.45,0.0,30.45,Novo  |  +100 vendidos,4.5,40,Ckyron,Microfibra,Feminino,Não Informado,Ó tamanho gg veio muito pequeno.,"Lindos os conjuntos, irei comprar mais cm certeza.
Remomendo.",Produto com ótimo custo benefício.
601,Uniforme Roupa Kit Ballet Juvenil Adulto Completo,179.06,0.0,179.06,Novo  |  +5 vendidos,5.0,6,Gran Ballet,Não Informado,Feminino,Não Informado,Maravilhoso 😍😍😍.,"Eu amei, veste super bem , o tecido é grosso do body e da meia.",Muito bom somente a saia que achei que deveria ser de um tecido um pouco mais grosso pois ficou transparente de acordo com a posição contra a luz que se olha. Nos outros quesitos ficou ótimo. Obrigado.
602,Kit 8 Peças De Roupa Infantil Masculino 4 Camisas + 4 Shorts,124.1,0.1,111.69,Novo  |  +1000 vendidos,4.4,388,Imperio Kids,Não Informado,Bebês,Não Informado,Ótima roupas.,"Os tecidos são de excelente qualidade, recomendo.",Ficou perfeito peguei tamanho 3 meu filho tem 2 anos.
603,2 Máscara De Proteção Lupo Dupla Camada Reutilizável Lavável,52.78,0.34,34.83,Novo  |  +1000 vendidos,4.9,52,Lupo,Não Informado,Não Informado,Não Informado,Adorei.,Ótima.,"Muito bom produto, confortavel e bem leve !!!!."
604,Kit 3 Calça Jeans Feminina Levanta Bumbum Cintura Alta,182.95,0.05,173.8,Novo  |  +1000 vendidos,4.3,312,Stillger,Algodão,Feminino,Outono/Inverno,"Maravilhoso, super recomendo, ficou perfeita 👏👏👏.",Pedi um produto veio outro sem falar no tamanho.,"Do kit, uma calça ficou perfeita, uma ficou boa e a outra não serviu, ficou pequena, pedi a loja para trocar somente a que não serviu, pois como eu só experimentei uma achei que daria certo as outras e já usei, quando fui usar a terceira, não serviu. A resposta da loja foi que só troca o kit inteiro. Mas como vou trocar um kit de calças 38 por outro kit de calça 38 se apenas 1 veio no tamanho errado?."
605,Kit 5 Bermudas Tactel Mauricinho Short Juvenil Estampado,78.97,0.0,78.97,Novo  |  +25 vendidos,,0,Rebel Cat,Microfibra,Meninos,Primavera/Verão,,,
606,Calça Juvenil Moletom Menino Menina Confortavel Flanelado,65.69,0.41,38.76,Novo  |  +5 vendidos,,0,Colbacho,Moletom,Meninos,Outono/Inverno,,,
607,Roupa Fantasia Marsha E O Urso Manga Longa,78.9,0.0,78.9,Novo  |  +100 vendidos,5.0,21,Mimos da Gi,Não Informado,Bebês,Não Informado,"Maravilhosa ,comprem sem medo.",Muito linda! a minha filha amou!.,"Ficou lindo na minha filha ela amou.
Na hora de lavar não desbotou o acabamento bem bom super recomendo 👏."
608,Bermuda Cinta Modeladora Feminina Slim Afina Cintura Lupo,109.9,0.0,109.9,Novo  |  +5 vendidos,5.0,1,Lupo,Poliamida-Nylon,Feminino,Primavera/Verão,Muito boa qualidade 👏👏👏👏👏.,,
609,6 Cueca Box Boxer Lupo Plus Size Tamanho Especiais Algodão,160.9,0.0,160.9,Novo  |  +50 vendidos,4.9,7,Lupo,Algodão,Masculino,Primavera-verão Outono-inverno,Excelente.,Muito boa a qualidade gostei muito.,"Só uso cuecas e meias lupo,pois sou cliente lupo a muitos anos pôr gostar do produto confeção e veste confortável."
610,Kit Ballet Balé Bailarina Uniforme 7 Peças Com Bolsa Inverno,201.06,0.12,176.93,Novo  |  +500 vendidos,4.6,101,Stelariss Figurinos,Não Informado,Feminino,Não Informado,Ficou perfeito. É muito confortável. O tamanho ficou exatamente como eu queria. Minha filha ficou linda e feliz. A bolsa é muito maravilhosa. Amamos tudo. Obrigado 🙏🙏.,Amei ficou lindo na minha bonequinha 😍.,Eu achei maravilhoso minha filha amou.
611,Calça Jeans Plus Size Skinny Levanta Bumbum Destroyed,62.99,0.0,62.99,Novo  |  +100 vendidos,4.6,21,Stillger,Algodão,Feminino,Outono/Inverno,Tecido muito bom.,"Perfeitoooooooooo, pra você que veste 48 compra 50.",Bom dia a calça veio com defeito de fábrica com uma aparência de tecido lavada e passada e com passa cinto descosturado.
612,Kit 10 Short Jeans Feminino Com Cintura Alta Atacado Revenda,199.99,0.0,199.99,Novo  |  +5 vendidos,,0,Stillger,Algodão,Feminino,Primavera/Verão,,,
613,Jardineira Temática - Romper Bolofofos Com Calcinha,98.9,0.0,98.9,Novo  |  +25 vendidos,5.0,6,Daddy & Baby e Cia,Não Informado,Bebês,Não Informado,"Amei, super fofo. De ótima qualidade, ainda não lavei.","Dei de presente,ficou lindo na minha sobrinha.",Ficou maravilhoso 😍 muito lindo.
614,Beca Infantil,125.9,0.0,125.9,Novo  |  +100 vendidos,4.9,18,tomasi becas,Não Informado,Sem gênero infantil,Não Informado,Beca linda e bem feita 😍.,Bem feito e um bom tecido.,Ótimo produto muito bom gostei em breve voltarei a realizar novas compras estou muito satisfeito.
615,Kit 10 Peças Roupa Infantil Masculina Moletinho E Tactel,129.9,0.0,129.9,Novo  |  +1000 vendidos,4.3,282,Amma Kids,Não Informado,Meninos,Não Informado,"Deveriam colocar na descrição diferente, pois agente pensa que é 10 conjuntos, quando q na verdade é 5 conjuntos. 5 bermudas é 5 camisetas. As bermudas até q é um tamanho bom para 2 anos, mais as camisas achei pequena para 2 anos.","O tamanho foi realmente o que eu esperava, estampas bonitas, perfeito para o dia a dia, super recomendo.","Já usei todos,lavei na mão,na máquina e não encolheu, qualidade boa essas fotos são reais do produto, do dia dessa postagem gostei bastante."
616,Short Jeans Plus Size Feminino Cintura Alta Barra Dobrada,71.97,0.11,64.05,Novo  |  +5 vendidos,,0,Stillger,Algodão,Feminino,Primavera/Verão,,,
617,Conjunto Calça Blusa Térmica Roupafrio Segunda Pele Masculin,149.29,0.07,138.84,Novo  |  +5 vendidos,,0,DL Têxtil,suplex flanelado,Masculino,Outono/Inverno,,,
618,Conjunto Calça Legging Top Liso Roupas Para Academia Fitness,72.72,0.23,55.99,Novo  |  +500 vendidos,4.3,55,Desconhecida,Suplex Poliéster,Feminino,Não Informado,"Eu gostei,sou baixinha e uso 38.
Peguei o tamanho m.
Ficou bem justinho,a calça quase ficou curta,bem em cima msm.
Mas veste super bem.","Produto de pessima qualidade, material transparente e horrivel.",Ótimo. Do jeito que eu esperava. Muito satisfeita.
619,Kit 10 Peças Menina Conjunto Infantil 5 Camisetas + 5 Shorts,211.85,0.36,135.58,Novo  |  +50 vendidos,5.0,1,Imperio Kids,Não Informado,Meninas,Não Informado,"Tecido de ótima qualidade, estão de parabéns.",,
